SKU,Format,Color,Diecut,Refinement
TEO11SW,F040,C25,D00,
TEO11SW,F040,C25,D01,
TEO11SW,F040,C25,D02,
TEO11SW,F060,C25,,
TEO13SW,F020,C22,D00,
TEO13SW,F020,C22,D01,
TEO13SW,F020,C22,D02,
TEO13SW,F040,C22,D00,
TEO13SW,F040,C22,D01,
TEO13SW,F040,C22,D02,
LIG11SW,F040,C13,D00,
LIG11SW,F040,C13,D01,
LIG11SW,F040,C13,D02,
LIG11SW,F060,C13,,
KAM11SW,F040,C22,D00,
KAM11SW,F040,C22,D01,
KAM11SW,F040,C22,D02,
KAM11SW,F060,C22,,
LIG02SW,F030,C17,D00,
LIG02SW,F030,C17,D01,
LIG02SW,F030,C17,D02,
LIG02SW,F060,C17,,
TEO18SW,F020,C22,D00,
TEO18SW,F020,C22,D01,
TEO18SW,F020,C22,D02,
TEO18SW,F040,C22,D00,
TEO18SW,F040,C22,D01,
TEO18SW,F040,C22,D02,
TEO18SW,F082,C22,,
LIG22SW,F040,C19,D00,
LIG22SW,F040,C19,D01,
LIG22SW,F040,C19,D02,
LIG22SW,F060,C19,,
LIG23SW,F010,C21,D00,
LIG23SW,F010,C21,D01,
LIG23SW,F010,C21,D02,
LIG23SW,F030,C21,D00,
LIG23SW,F030,C21,D01,
LIG23SW,F030,C21,D02,
LIG23SW,F050,C21,,
LIG24SW,F030,C21,D00,
LIG24SW,F030,C21,D01,
LIG24SW,F030,C21,D02,
LIG24SW,F082,C21,,
LIG24SW,F151,C21,,
KAM04SW,F020,C13,D00,
KAM04SW,F020,C13,D01,
KAM04SW,F020,C13,D02,
KAM04SW,F040,C13,D00,
KAM04SW,F040,C13,D01,
KAM04SW,F040,C13,D02,
KAM12SW,F020,C13,D00,
KAM12SW,F020,C13,D01,
KAM12SW,F020,C13,D02,
KAM12SW,F040,C13,D00,
KAM12SW,F040,C13,D01,
KAM12SW,F040,C13,D02,
LIG12SW,F040,C25,D00,
LIG12SW,F040,C25,D01,
LIG12SW,F040,C25,D02,
LIG12SW,F060,C25,,
LIG14SW,F030,C18,D00,
